Physician_ID,Specialty,Historical_Prescriptions,Digital_Ads_Impressions,Sales_Rep_Visits,Samples_Dropped,Region,Cluster,Segment
PHY-00001,Cardiology,104,59,9,16,South,1,Low Engagement Profiles
PHY-00002,GP,155,5374,4,20,West,0,High-Touch Advocates
PHY-00003,GP,80,351,7,16,Midwest,1,Low Engagement Profiles
PHY-00004,Cardiology,93,253,4,17,West,2,Digital-First Responders
PHY-00005,Oncology,129,3334,8,17,West,0,High-Touch Advocates
PHY-00006,Oncology,148,2004,5,18,South,2,Digital-First Responders
PHY-00007,Oncology,135,2280,7,17,West,1,Low Engagement Profiles
PHY-00008,GP,83,1645,5,14,South,2,Digital-First Responders
PHY-00009,GP,77,696,8,16,Northeast,1,Low Engagement Profiles
PHY-00010,GP,84,1063,5,13,Northeast,2,Digital-First Responders
PHY-00011,Oncology,81,550,3,16,South,2,Digital-First Responders
PHY-00012,GP,94,487,8,17,Northeast,1,Low Engagement Profiles
PHY-00013,GP,112,2524,12,11,Midwest,1,Low Engagement Profiles
PHY-00014,Oncology,119,280,10,15,West,1,Low Engagement Profiles
PHY-00015,Oncology,117,554,3,17,Midwest,2,Digital-First Responders
PHY-00016,Oncology,111,1114,3,8,West,2,Digital-First Responders
PHY-00017,Cardiology,121,1445,9,13,Northeast,1,Low Engagement Profiles
PHY-00018,Cardiology,93,375,7,13,Midwest,1,Low Engagement Profiles
PHY-00019,Cardiology,79,1841,4,10,Northeast,2,Digital-First Responders
PHY-00020,Cardiology,121,1578,5,13,West,2,Digital-First Responders
PHY-00021,GP,96,3296,3,13,South,0,High-Touch Advocates
PHY-00022,Oncology,90,1463,4,9,South,2,Digital-First Responders
PHY-00023,Cardiology,113,1976,5,19,Midwest,2,Digital-First Responders
PHY-00024,Cardiology,74,731,4,9,Northeast,2,Digital-First Responders
PHY-00025,Cardiology,114,759,4,13,Northeast,2,Digital-First Responders
PHY-00026,GP,100,417,8,16,Midwest,1,Low Engagement Profiles
PHY-00027,Oncology,107,738,7,18,South,1,Low Engagement Profiles
PHY-00028,Cardiology,101,1051,4,19,West,2,Digital-First Responders
PHY-00029,Cardiology,114,3081,5,16,Midwest,0,High-Touch Advocates
PHY-00030,Oncology,111,643,6,17,West,1,Low Engagement Profiles
PHY-00031,GP,124,5002,4,14,South,0,High-Touch Advocates
PHY-00032,Oncology,108,2100,3,10,Northeast,2,Digital-First Responders
PHY-00033,Oncology,127,1807,7,15,South,1,Low Engagement Profiles
PHY-00034,GP,79,1379,9,15,Midwest,1,Low Engagement Profiles
PHY-00035,GP,83,1187,9,10,Northeast,1,Low Engagement Profiles
PHY-00036,GP,59,836,7,12,Midwest,1,Low Engagement Profiles
PHY-00037,Cardiology,86,359,7,15,Midwest,1,Low Engagement Profiles
PHY-00038,Oncology,112,663,7,15,South,1,Low Engagement Profiles
PHY-00039,GP,115,3843,9,12,Midwest,0,High-Touch Advocates
PHY-00040,Cardiology,106,2011,6,20,South,1,Low Engagement Profiles
PHY-00041,Oncology,105,3821,3,7,Northeast,0,High-Touch Advocates
PHY-00042,Cardiology,99,818,7,13,South,1,Low Engagement Profiles
PHY-00043,Oncology,107,535,2,19,Northeast,2,Digital-First Responders
PHY-00044,GP,90,1368,3,16,South,2,Digital-First Responders
PHY-00045,Cardiology,99,685,5,10,West,2,Digital-First Responders
PHY-00046,GP,79,1589,5,13,West,2,Digital-First Responders
PHY-00047,Cardiology,125,285,6,15,Midwest,2,Digital-First Responders
PHY-00048,Cardiology,122,152,8,26,South,1,Low Engagement Profiles
PHY-00049,Cardiology,108,1758,5,18,South,2,Digital-First Responders
PHY-00050,Oncology,135,3914,6,13,Northeast,0,High-Touch Advocates
PHY-00051,GP,93,1814,7,16,Midwest,1,Low Engagement Profiles
